,Team,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Season,Date,Opponent
615,Dallas Stars,1,0,1,0,0,.000,0,0,0,4,5,4.00,5.00,25.0,100.0,25.0,150.0,33.0,37.0,44.4,2023,2023/03/06,Calgary Flames
616,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,80.0,0.0,80.0,41.0,22.0,50.9,2023,2023/03/06,Washington Capitals
617,San Jose Sharks,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,24.0,38.0,68.3,2023,2023/03/06,Winnipeg Jets
618,Winnipeg Jets,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,38.0,24.0,31.7,2023,2023/03/06,San Jose Sharks
619,New Jersey Devils,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,100.0,100.0,100.0,100.0,40.0,29.0,47.1,2023,2023/03/05,Arizona Coyotes
620,Philadelphia Flyers,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,150.0,37.0,26.0,38.9,2023,2023/03/05,Detroit Red Wings
621,Montréal Canadiens,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,0.0,100.0,0.0,100.0,28.0,28.0,50.0,2023,2023/03/05,Vegas Golden Knights
622,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,6,0,6.00,0.00,80.0,100.0,80.0,100.0,38.0,14.0,54.1,2023,2023/03/05,Tampa Bay Lightning
623,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,0,6,0.00,6.00,0.0,20.0,0.0,20.0,14.0,38.0,45.9,2023,2023/03/05,Carolina Hurricanes
624,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,-50.0,100.0,26.0,37.0,61.1,2023,2023/03/05,Philadelphia Flyers
625,Colorado Avalanche,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,23.0,35.0,57.9,2023,2023/03/05,Seattle Kraken
626,Arizona Coyotes,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,0.0,0.0,0.0,0.0,29.0,40.0,52.9,2023,2023/03/05,New Jersey Devils
627,Vegas Golden Knights,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,0.0,100.0,0.0,100.0,28.0,28.0,50.0,2023,2023/03/05,Montreal Canadiens
628,Seattle Kraken,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,35.0,23.0,42.1,2023,2023/03/05,Colorado Avalanche
629,New York Islanders,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,50.0,66.7,50.0,66.7,36.0,23.0,68.3,2023,2023/03/04,Detroit Red Wings
630,New York Rangers,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,33.3,100.0,0.0,100.0,26.0,24.0,43.1,2023,2023/03/04,Boston Bruins
631,Pittsburgh Penguins,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,20.0,80.0,20.0,80.0,32.0,42.0,60.0,2023,2023/03/04,Florida Panthers
632,Boston Bruins,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,66.7,0.0,100.0,24.0,26.0,56.9,2023,2023/03/04,New York Rangers
633,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,40.0,80.0,20.0,80.0,34.0,36.0,37.3,2023,2023/03/04,Tampa Bay Lightning
634,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,0.0,50.0,0.0,100.0,39.0,21.0,59.3,2023,2023/03/04,Columbus Blue Jackets
635,Toronto Maple Leafs,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,25.0,66.7,-25.0,66.7,37.0,24.0,54.0,2023,2023/03/04,Vancouver Canucks
636,Florida Panthers,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,20.0,80.0,20.0,80.0,42.0,32.0,40.0,2023,2023/03/04,Pittsburgh Penguins
637,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,20.0,60.0,20.0,80.0,36.0,34.0,62.7,2023,2023/03/04,Buffalo Sabres
638,Washington Capitals,1,1,0,0,2,1.000,1,1,0,8,3,8.00,3.00,33.3,75.0,33.3,75.0,30.0,41.0,61.0,2023,2023/03/04,San Jose Sharks
639,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,66.7,0.0,66.7,28.0,25.0,46.2,2023,2023/03/04,Nashville Predators
640,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,33.3,50.0,33.3,50.0,23.0,36.0,31.7,2023,2023/03/04,New York Islanders
641,Nashville Predators,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,33.3,100.0,33.3,100.0,25.0,28.0,53.9,2023,2023/03/04,Chicago Blackhawks
642,St. Louis Blues,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,0.0,66.7,0.0,100.0,26.0,38.0,49.0,2023,2023/03/04,Los Angeles Kings
643,Calgary Flames,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,100.0,0.0,100.0,31.0,33.0,39.1,2023,2023/03/04,Minnesota Wild
644,Colorado Avalanche,1,0,1,0,0,.000,0,0,0,3,7,3.00,7.00,50.0,100.0,50.0,100.0,35.0,29.0,44.2,2023,2023/03/04,Dallas Stars
645,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,5,7,5.00,7.00,66.7,66.7,66.7,100.0,35.0,39.0,49.3,2023,2023/03/04,Winnipeg Jets
646,Vancouver Canucks,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,33.3,75.0,33.3,125.0,24.0,37.0,46.0,2023,2023/03/04,Toronto Maple Leafs
647,Dallas Stars,1,1,0,0,2,1.000,1,1,0,7,3,7.00,3.00,0.0,50.0,0.0,50.0,29.0,35.0,55.8,2023,2023/03/04,Colorado Avalanche
648,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,33.3,100.0,0.0,100.0,38.0,26.0,51.0,2023,2023/03/04,St. Louis Blues
649,San Jose Sharks,1,0,1,0,0,.000,0,0,0,3,8,3.00,8.00,25.0,66.7,25.0,66.7,41.0,30.0,39.0,2023,2023/03/04,Washington Capitals
650,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,50.0,100.0,0.0,100.0,21.0,39.0,40.7,2023,2023/03/04,Ottawa Senators
651,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,0.0,100.0,0.0,100.0,33.0,31.0,60.9,2023,2023/03/04,Calgary Flames
652,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,7,5,7.00,5.00,33.3,33.3,0.0,33.3,39.0,35.0,50.8,2023,2023/03/04,Edmonton Oilers
653,New Jersey Devils,1,0,0,1,1,.500,0,0,0,3,3,3.00,3.00,50.0,100.0,50.0,100.0,50.0,27.0,54.1,2023,2023/03/03,Vegas Golden Knights
654,Montréal Canadiens,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,0.0,33.3,0.0,33.3,28.0,33.0,53.7,2023,2023/03/03,Anaheim Ducks
655,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,6,1,6.00,1.00,75.0,100.0,75.0,100.0,42.0,18.0,56.4,2023,2023/03/03,Arizona Coyotes
656,Edmonton Oilers,1,1,0,0,2,1.000,1,1,0,6,3,6.00,3.00,22.2,66.7,22.2,66.7,33.0,28.0,50.8,2023,2023/03/03,Winnipeg Jets
657,Anaheim Ducks,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,66.7,100.0,66.7,100.0,33.0,28.0,46.3,2023,2023/03/03,Montreal Canadiens
658,Columbus Blue Jackets,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,25.0,50.0,25.0,50.0,23.0,35.0,51.6,2023,2023/03/03,Seattle Kraken
659,Winnipeg Jets,1,0,1,0,0,.000,0,0,0,3,6,3.00,6.00,33.3,77.8,33.3,77.8,28.0,33.0,49.2,2023,2023/03/03,Edmonton Oilers
660,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,1,6,1.00,6.00,0.0,25.0,0.0,25.0,18.0,42.0,43.6,2023,2023/03/03,Carolina Hurricanes
661,Vegas Golden Knights,1,1,0,0,2,1.000,0,0,1,3,3,3.00,3.00,0.0,50.0,0.0,50.0,27.0,50.0,45.9,2023,2023/03/03,New Jersey Devils
662,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,50.0,75.0,50.0,75.0,35.0,23.0,48.4,2023,2023/03/03,Columbus Blue Jackets
663,New York Rangers,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,0.0,100.0,0.0,133.3,32.0,34.0,49.0,2023,2023/03/02,Ottawa Senators
664,Pittsburgh Penguins,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,0.0,60.0,0.0,60.0,32.0,31.0,50.0,2023,2023/03/02,Tampa Bay Lightning
665,Boston Bruins,1,1,0,0,2,1.000,1,1,0,7,1,7.00,1.00,33.3,100.0,33.3,166.7,42.0,27.0,42.4,2023,2023/03/02,Buffalo Sabres
666,Buffalo Sabres,1,0,1,0,0,.000,0,0,0,1,7,1.00,7.00,0.0,66.7,-66.7,66.7,27.0,42.0,57.6,2023,2023/03/02,Boston Bruins
667,Montréal Canadiens,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,33.3,100.0,33.3,100.0,21.0,33.0,49.1,2023,2023/03/02,Los Angeles Kings
668,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,0.0,100.0,-33.3,100.0,34.0,32.0,51.0,2023,2023/03/02,New York Rangers
669,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,0.0,100.0,-50.0,100.0,34.0,26.0,55.6,2023,2023/03/02,Calgary Flames
670,Florida Panthers,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,--,0.0,--,0.0,31.0,23.0,43.1,2023,2023/03/02,Nashville Predators
671,Tampa Bay Lightning,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,40.0,100.0,40.0,100.0,31.0,32.0,50.0,2023,2023/03/02,Pittsburgh Penguins
672,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,0.0,33.3,0.0,33.3,21.0,36.0,48.2,2023,2023/03/02,Dallas Stars
673,Detroit Red Wings,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,0.0,80.0,0.0,80.0,29.0,37.0,60.3,2023,2023/03/02,Seattle Kraken
674,Nashville Predators,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,100.0,--,100.0,--,23.0,31.0,56.9,2023,2023/03/02,Florida Panthers
675,St. Louis Blues,1,1,0,0,2,1.000,1,1,0,6,3,6.00,3.00,66.7,100.0,33.3,100.0,23.0,25.0,41.1,2023,2023/03/02,San Jose Sharks
676,Calgary Flames,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,0.0,100.0,0.0,150.0,26.0,34.0,44.4,2023,2023/03/02,Toronto Maple Leafs
677,Vancouver Canucks,1,0,1,0,0,.000,0,0,0,1,2,1.00,2.00,33.3,100.0,33.3,100.0,22.0,36.0,47.5,2023,2023/03/02,Minnesota Wild
678,Dallas Stars,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,66.7,100.0,66.7,100.0,36.0,21.0,51.9,2023,2023/03/02,Chicago Blackhawks
679,Los Angeles Kings,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,0.0,66.7,0.0,66.7,33.0,21.0,50.9,2023,2023/03/02,Montreal Canadiens
680,San Jose Sharks,1,0,1,0,0,.000,0,0,0,3,6,3.00,6.00,0.0,33.3,0.0,66.7,25.0,23.0,58.9,2023,2023/03/02,St. Louis Blues
681,Minnesota Wild,1,1,0,0,2,1.000,1,1,0,2,1,2.00,1.00,0.0,66.7,0.0,66.7,36.0,22.0,52.5,2023,2023/03/02,Vancouver Canucks
682,Seattle Kraken,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,20.0,100.0,20.0,100.0,37.0,29.0,39.7,2023,2023/03/02,Detroit Red Wings
683,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,7,5,7.00,5.00,50.0,100.0,50.0,100.0,29.0,31.0,50.0,2023,2023/03/01,Colorado Avalanche
684,New York Rangers,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,100.0,66.7,100.0,66.7,25.0,28.0,58.7,2023,2023/03/01,Philadelphia Flyers
685,Philadelphia Flyers,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,33.3,0.0,33.3,0.0,28.0,25.0,41.3,2023,2023/03/01,New York Rangers
686,Toronto Maple Leafs,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,33.3,75.0,33.3,75.0,28.0,32.0,56.5,2023,2023/03/01,Edmonton Oilers
687,Carolina Hurricanes,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,--,100.0,--,100.0,26.0,20.0,43.9,2023,2023/03/01,Vegas Golden Knights
688,Washington Capitals,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,39.0,23.0,45.8,2023,2023/03/01,Anaheim Ducks
689,Colorado Avalanche,1,0,1,0,0,.000,0,0,0,5,7,5.00,7.00,0.0,50.0,0.0,50.0,31.0,29.0,50.0,2023,2023/03/01,New Jersey Devils
690,Edmonton Oilers,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,25.0,66.7,25.0,66.7,32.0,28.0,43.6,2023,2023/03/01,Toronto Maple Leafs
691,Anaheim Ducks,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,23.0,39.0,54.2,2023,2023/03/01,Washington Capitals
692,Dallas Stars,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,25.0,80.0,25.0,100.0,41.0,20.0,64.2,2023,2023/03/01,Arizona Coyotes
693,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,20.0,75.0,0.0,75.0,20.0,41.0,35.9,2023,2023/03/01,Dallas Stars
694,Vegas Golden Knights,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,0.0,--,0.0,--,20.0,26.0,56.1,2023,2023/03/01,Carolina Hurricanes
695,New York Islanders,1,0,0,1,1,.500,0,0,0,1,1,1.00,1.00,--,100.0,--,100.0,40.0,31.0,59.5,2023,2023/02/28,Minnesota Wild
696,Pittsburgh Penguins,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,34.0,25.0,63.6,2023,2023/02/28,Nashville Predators
697,Boston Bruins,1,1,0,0,2,1.000,0,1,0,4,3,4.00,3.00,33.3,100.0,33.3,100.0,20.0,57.0,52.2,2023,2023/02/28,Calgary Flames
698,Buffalo Sabres,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,33.3,0.0,33.3,0.0,41.0,36.0,53.3,2023,2023/02/28,Columbus Blue Jackets
699,Montréal Canadiens,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,0.0,100.0,0.0,100.0,32.0,39.0,48.5,2023,2023/02/28,San Jose Sharks
700,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,6,1,6.00,1.00,33.3,100.0,33.3,112.5,27.0,17.0,49.2,2023,2023/02/28,Detroit Red Wings
701,Florida Panthers,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,80.0,0.0,80.0,41.0,29.0,46.2,2023,2023/02/28,Tampa Bay Lightning
702,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,20.0,100.0,20.0,100.0,29.0,41.0,53.9,2023,2023/02/28,Florida Panthers
703,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,0.0,100.0,0.0,100.0,24.0,33.0,56.3,2023,2023/02/28,Arizona Coyotes
704,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,1,6,1.00,6.00,0.0,66.7,-12.5,66.7,17.0,27.0,50.8,2023,2023/02/28,Ottawa Senators
705,Nashville Predators,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,25.0,34.0,36.4,2023,2023/02/28,Pittsburgh Penguins
706,St. Louis Blues,1,0,1,0,0,.000,0,0,0,3,5,3.00,5.00,0.0,100.0,0.0,150.0,25.0,26.0,42.3,2023,2023/02/28,Seattle Kraken
707,Calgary Flames,1,0,0,1,1,.500,0,0,0,3,4,3.00,4.00,0.0,66.7,0.0,66.7,57.0,20.0,47.8,2023,2023/02/28,Boston Bruins
708,Los Angeles Kings,1,1,0,0,2,1.000,0,0,1,5,5,5.00,5.00,25.0,100.0,0.0,100.0,37.0,31.0,54.1,2023,2023/02/28,Winnipeg Jets
709,San Jose Sharks,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,100.0,0.0,100.0,39.0,32.0,51.5,2023,2023/02/28,Montreal Canadiens
710,Columbus Blue Jackets,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,100.0,66.7,100.0,66.7,36.0,41.0,46.7,2023,2023/02/28,Buffalo Sabres
711,Minnesota Wild,1,1,0,0,2,1.000,0,0,1,1,1,1.00,1.00,0.0,--,0.0,--,31.0,40.0,40.5,2023,2023/02/28,New York Islanders
712,Winnipeg Jets,1,0,0,1,1,.500,0,0,0,5,5,5.00,5.00,0.0,75.0,0.0,100.0,31.0,37.0,45.9,2023,2023/02/28,Los Angeles Kings
713,Arizona Coyotes,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,0.0,100.0,0.0,100.0,33.0,24.0,43.8,2023,2023/02/28,Chicago Blackhawks
714,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,5,3,5.00,3.00,0.0,100.0,-50.0,100.0,26.0,25.0,57.7,2023,2023/02/28,St. Louis Blues
715,Boston Bruins,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,28.0,24.0,42.9,2023,2023/02/27,Edmonton Oilers
716,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,6,2,6.00,2.00,33.3,75.0,33.3,75.0,42.0,24.0,53.6,2023,2023/02/27,Detroit Red Wings
717,Chicago Blackhawks,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,50.0,80.0,50.0,80.0,26.0,33.0,46.4,2023,2023/02/27,Anaheim Ducks
718,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,2,6,2.00,6.00,25.0,66.7,25.0,66.7,24.0,42.0,46.4,2023,2023/02/27,Ottawa Senators
719,Colorado Avalanche,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,0.0,100.0,0.0,100.0,34.0,31.0,42.9,2023,2023/02/27,Vegas Golden Knights
720,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,24.0,28.0,57.1,2023,2023/02/27,Boston Bruins
721,Vancouver Canucks,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,33.3,80.0,0.0,80.0,21.0,38.0,41.2,2023,2023/02/27,Dallas Stars
722,Anaheim Ducks,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,20.0,50.0,20.0,50.0,33.0,26.0,53.6,2023,2023/02/27,Chicago Blackhawks
723,Dallas Stars,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,20.0,66.7,20.0,100.0,38.0,21.0,58.8,2023,2023/02/27,Vancouver Canucks
724,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,100.0,0.0,100.0,31.0,34.0,57.1,2023,2023/02/27,Colorado Avalanche
725,New York Islanders,1,1,0,0,2,1.000,1,1,0,4,0,4.00,0.00,0.0,100.0,0.0,133.3,24.0,23.0,51.0,2023,2023/02/26,Winnipeg Jets
726,New York Rangers,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,25.0,75.0,25.0,75.0,21.0,28.0,43.9,2023,2023/02/26,Los Angeles Kings
727,Pittsburgh Penguins,1,1,0,0,2,1.000,1,1,0,7,3,7.00,3.00,50.0,66.7,50.0,66.7,36.0,29.0,54.6,2023,2023/02/26,Tampa Bay Lightning
728,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,7,4,7.00,4.00,0.0,50.0,0.0,50.0,37.0,30.0,57.9,2023,2023/02/26,Washington Capitals
729,Toronto Maple Leafs,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,0.0,100.0,0.0,100.0,33.0,27.0,71.4,2023,2023/02/26,Seattle Kraken
730,Tampa Bay Lightning,1,0,1,0,0,.000,0,0,0,3,7,3.00,7.00,33.3,50.0,33.3,50.0,29.0,36.0,45.5,2023,2023/02/26,Pittsburgh Penguins
731,Washington Capitals,1,0,1,0,0,.000,0,0,0,4,7,4.00,7.00,50.0,100.0,50.0,100.0,30.0,37.0,42.1,2023,2023/02/26,Buffalo Sabres
732,Nashville Predators,1,1,0,0,2,1.000,1,1,0,6,2,6.00,2.00,66.7,100.0,33.3,100.0,34.0,27.0,51.8,2023,2023/02/26,Arizona Coyotes
733,Los Angeles Kings,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,25.0,75.0,25.0,75.0,28.0,21.0,56.1,2023,2023/02/26,New York Rangers
734,Columbus Blue Jackets,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,50.0,0.0,50.0,24.0,44.0,50.9,2023,2023/02/26,Minnesota Wild
735,Minnesota Wild,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,50.0,100.0,50.0,100.0,44.0,24.0,49.1,2023,2023/02/26,Columbus Blue Jackets
736,Winnipeg Jets,1,0,1,0,0,.000,0,0,0,0,4,0.00,4.00,0.0,100.0,-33.3,100.0,23.0,24.0,49.0,2023,2023/02/26,New York Islanders
737,Arizona Coyotes,1,0,1,0,0,.000,0,0,0,2,6,2.00,6.00,0.0,33.3,0.0,66.7,27.0,34.0,48.2,2023,2023/02/26,Nashville Predators
738,Seattle Kraken,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,0.0,100.0,0.0,100.0,27.0,33.0,28.6,2023,2023/02/26,Toronto Maple Leafs
739,New Jersey Devils,1,1,0,0,2,1.000,1,1,0,7,0,7.00,0.00,0.0,100.0,0.0,100.0,36.0,23.0,55.9,2023,2023/02/25,Philadelphia Flyers
740,New York Rangers,1,0,1,0,0,.000,0,0,0,3,6,3.00,6.00,20.0,50.0,20.0,50.0,26.0,27.0,52.8,2023,2023/02/25,Washington Capitals
741,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,0,7,0.00,7.00,0.0,100.0,0.0,100.0,23.0,36.0,44.1,2023,2023/02/25,New Jersey Devils
742,Pittsburgh Penguins,1,1,0,0,2,1.000,0,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,48.0,27.0,53.5,2023,2023/02/25,St. Louis Blues
743,Boston Bruins,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,33.3,100.0,33.3,100.0,35.0,27.0,64.9,2023,2023/02/25,Vancouver Canucks
744,Montréal Canadiens,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,0.0,100.0,0.0,100.0,32.0,22.0,52.3,2023,2023/02/25,Ottawa Senators
745,Ottawa Senators,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,0.0,100.0,0.0,100.0,22.0,32.0,47.7,2023,2023/02/25,Montreal Canadiens
746,Carolina Hurricanes,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,53.0,16.0,49.2,2023,2023/02/25,Anaheim Ducks
747,Tampa Bay Lightning,1,1,0,0,2,1.000,1,1,0,3,0,3.00,0.00,0.0,100.0,0.0,100.0,18.0,45.0,51.9,2023,2023/02/25,Detroit Red Wings
748,Washington Capitals,1,1,0,0,2,1.000,1,1,0,6,3,6.00,3.00,50.0,80.0,50.0,80.0,27.0,26.0,47.2,2023,2023/02/25,New York Rangers
749,Chicago Blackhawks,1,1,0,0,2,1.000,0,0,1,3,3,3.00,3.00,0.0,100.0,0.0,100.0,35.0,48.0,39.0,2023,2023/02/25,San Jose Sharks
750,Detroit Red Wings,1,0,1,0,0,.000,0,0,0,0,3,0.00,3.00,0.0,100.0,0.0,100.0,45.0,18.0,48.2,2023,2023/02/25,Tampa Bay Lightning
751,St. Louis Blues,1,0,0,1,1,.500,0,0,0,2,3,2.00,3.00,0.0,100.0,0.0,100.0,27.0,48.0,46.6,2023,2023/02/25,Pittsburgh Penguins
752,Calgary Flames,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,20.0,75.0,20.0,75.0,29.0,22.0,50.0,2023,2023/02/25,Colorado Avalanche
753,Colorado Avalanche,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,25.0,80.0,25.0,80.0,22.0,29.0,50.0,2023,2023/02/25,Calgary Flames
754,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,5,6,5.00,6.00,25.0,75.0,25.0,100.0,47.0,26.0,63.9,2023,2023/02/25,Columbus Blue Jackets
755,Vancouver Canucks,1,0,1,0,0,.000,0,0,0,1,3,1.00,3.00,0.0,66.7,0.0,66.7,27.0,35.0,35.1,2023,2023/02/25,Boston Bruins
756,Anaheim Ducks,1,1,0,0,2,1.000,1,1,0,3,2,3.00,2.00,0.0,100.0,0.0,100.0,16.0,53.0,50.8,2023,2023/02/25,Carolina Hurricanes
757,Dallas Stars,1,1,0,0,2,1.000,0,0,1,2,2,2.00,2.00,0.0,100.0,0.0,100.0,43.0,43.0,49.1,2023,2023/02/25,Vegas Golden Knights
758,San Jose Sharks,1,0,0,1,1,.500,0,0,0,3,3,3.00,3.00,0.0,100.0,0.0,100.0,48.0,35.0,61.0,2023,2023/02/25,Chicago Blackhawks
759,Columbus Blue Jackets,1,1,0,0,2,1.000,1,1,0,6,5,6.00,5.00,25.0,75.0,0.0,75.0,26.0,47.0,36.1,2023,2023/02/25,Edmonton Oilers
760,Vegas Golden Knights,1,0,0,1,1,.500,0,0,0,2,2,2.00,2.00,0.0,100.0,0.0,100.0,43.0,43.0,50.9,2023,2023/02/25,Dallas Stars
761,New York Islanders,1,0,1,0,0,.000,0,0,0,2,3,2.00,3.00,33.3,100.0,33.3,100.0,18.0,28.0,42.1,2023,2023/02/24,Los Angeles Kings
762,Philadelphia Flyers,1,0,1,0,0,.000,0,0,0,2,5,2.00,5.00,--,50.0,--,50.0,26.0,31.0,44.6,2023,2023/02/24,Montreal Canadiens
763,Buffalo Sabres,1,1,0,0,2,1.000,1,1,0,3,1,3.00,1.00,50.0,100.0,50.0,100.0,33.0,50.0,58.8,2023,2023/02/24,Florida Panthers
764,Montréal Canadiens,1,1,0,0,2,1.000,1,1,0,5,2,5.00,2.00,50.0,--,50.0,--,31.0,26.0,55.4,2023,2023/02/24,Philadelphia Flyers
765,Ottawa Senators,1,0,1,0,0,.000,0,0,0,0,4,0.00,4.00,0.0,100.0,0.0,100.0,32.0,30.0,41.3,2023,2023/02/24,Carolina Hurricanes
766,Toronto Maple Leafs,1,1,0,0,2,1.000,0,1,0,2,1,2.00,1.00,0.0,100.0,0.0,100.0,24.0,25.0,71.2,2023,2023/02/24,Minnesota Wild
767,Carolina Hurricanes,1,1,0,0,2,1.000,1,1,0,4,0,4.00,0.00,0.0,100.0,0.0,100.0,30.0,32.0,58.7,2023,2023/02/24,Ottawa Senators
